sample_id,frame_id,cx,cy,width,height,area
0,0,0.14398148148148146,0.4550416666666666,0.09166666666666666,0.10059375,0.00922109
1,0,0.3429398148148148,0.4588828124999999,0.11736111111111111,0.09681770833333339,0.01136263
2,0,0.32743055555555556,0.5258880208333333,0.11597222222222223,0.07869531250000002,0.00912647
3,0,0.5665509259259258,0.5586276041666667,0.12384259259259255,0.09524218749999988,0.01179504
4,0,0.6898148148148148,0.5031536458333333,0.12037037037037047,0.06556770833333339,0.00789241
5,0,0.6285879629629629,0.45725781249999997,0.06458333333333334,0.04706510416666667,0.00303962
6,0,0.9112268518518517,0.4152578125,0.1613425925925927,0.09813281249999992,0.01583300
7,0,0.9446759259259259,0.6541979166666666,0.10972222222222222,0.07077083333333345,0.00776513
8,0,0.5098379629629629,0.7303593749999999,0.1030092592592592,0.10855208333333337,0.01118187
9,0,0.4892361111111111,0.7831041666666666,0.10254629629629634,0.07858593750000012,0.00805870
10,0,0.6091805555555555,0.8832057291666666,0.06326851851851845,0.09003645833333315,0.00569647
11,0,0.6796296296296295,0.8149348958333332,0.09444444444444444,0.08393489583333355,0.00792718
12,0,0.32037037037037036,0.8326458333333333,0.10925925925925929,0.0797604166666666,0.00871456
13,0,0.4521898148148148,0.8683307291666665,0.07003240740740735,0.06777083333333316,0.00474615
13,1,0.5057942708333333,0.8803101851851851,0.03144010416666667,0.1460092592592591,0.00459055
14,1,0.0400859375,0.45465277777777774,0.07389583333333331,0.10210185185185183,0.00754490
15,1,0.47271874999999997,0.8140601851851851,0.039291666666666634,0.08104166666666686,0.00318426
16,1,0.3284375,0.7546203703703702,0.05722135416666667,0.14756944444444445,0.00844412
17,1,0.022888020833333335,0.6506481481481482,0.04577604166666667,0.11199074074074072,0.00512649
18,1,0.033169270833333334,0.23068055555555553,0.06633854166666667,0.12041666666666664,0.00798827
19,1,0.3616536458333333,0.7731481481481481,0.0514322916666667,0.10185185185185175,0.00523847
20,1,0.28678385416666663,0.6099537037037036,0.0462239583333333,0.14120370370370366,0.00652699
21,1,0.3274739583333333,0.5289351851851851,0.0377604166666667,0.10648148148148143,0.00402079
22,1,0.52815625,0.8436203703703703,0.027205729166666616,0.10096296296296303,0.00274677
22,2,0.8702962962962961,0.5183020833333333,0.1580555555555555,0.14334375000000002,0.02265628
23,2,0.48870370370370364,0.4472083333333333,0.12151851851851853,0.13160937500000003,0.01599298
24,2,0.838574074074074,0.6134062499999999,0.18084259259259264,0.14247916666666657,0.02576630
25,2,0.9097592592592593,0.7961927083333333,0.10777777777777797,0.1484427083333335,0.01599883
26,2,0.6509074074074074,0.47184895833333335,0.09934259259259257,0.1217447916666666,0.01209444
27,2,0.6589814814814815,0.8215416666666666,0.09645370370370378,0.08432812500000005,0.00813376
28,2,0.587537037037037,0.8781666666666667,0.0743333333333333,0.08763020833333321,0.00651385
29,2,0.18823148148148144,0.5768125,0.10809259259259257,0.14990625000000007,0.01620376
30,2,0.27685185185185185,0.6424479166666666,0.07222222222222222,0.07864583333333339,0.00567998
31,2,0.20509259259259258,0.6854166666666666,0.11203703703703706,0.08229166666666661,0.00921971
32,2,0.6972222222222222,0.8919270833333333,0.1111111111111111,0.0734375,0.00815972
33,2,0.9652777777777778,0.903125,0.06944444444444445,0.06666666666666679,0.00462963
34,2,0.6872222222222223,0.9353541666666667,0.058101851851851904,0.07131250000000015,0.00414339
35,2,0.6375648148148149,0.9300052083333332,0.04542592592592582,0.06417708333333323,0.00291530
36,2,0.7310648148148147,0.9719010416666667,0.050712962962962946,0.04813541666666658,0.00244109
36,3,0.5151484375000001,0.6160694444444444,0.03637239583333329,0.1447083333333334,0.00526339
37,3,0.5888463541666666,0.5995046296296296,0.04713541666666661,0.1848101851851851,0.00871111
38,3,0.5590703125,0.5950833333333334,0.020052083333333394,0.13730555555555557,0.00275326
39,3,0.5390182291666668,0.6128287037037037,0.02335156250000008,0.17280092592592589,0.00403517
40,3,0.7704869791666666,0.4461805555555556,0.05972135416666653,0.1621203703703704,0.00968205
41,3,0.6722213541666667,0.3930694444444444,0.0375,0.11694907407407414,0.00438559
42,3,0.7879348958333333,0.7339814814814816,0.0671875,0.22833333333333314,0.01534115
43,3,0.856640625,0.7374537037037038,0.07699739583333347,0.22910185185185192,0.01764025
44,3,0.8970911458333333,0.6762916666666666,0.057377604166666527,0.19949074074074089,0.01144630
45,3,0.9399739583333334,0.533537037037037,0.054947916666666784,0.13312962962962965,0.00731520
46,3,0.9861979166666666,0.818287037037037,0.027604166666666784,0.09675925925925936,0.00267096
46,4,0.27486574074074077,0.9066822916666666,0.1522685185185185,0.14719791666666673,0.02241361
47,4,0.20663888888888884,0.6821380208333332,0.14111574074074076,0.1158984375000001,0.01635509
48,4,0.3096296296296296,0.713375,0.06370370370370364,0.06925000000000008,0.00441148
49,4,0.374537037037037,0.586015625,0.16944444444444445,0.11140625000000011,0.01887717
50,4,0.5102777777777777,0.62096875,0.16314814814814818,0.10735416666666656,0.01751463
51,4,0.5241666666666667,0.5142473958333333,0.14277777777777786,0.09912239583333342,0.01415248
52,4,0.7926851851851852,0.40951041666666665,0.2427777777777777,0.10526822916666667,0.02555679
53,4,0.954722222222222,0.38987760416666667,0.09055555555555563,0.07537760416666658,0.00682586
